"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3653","POTUS Authorizes Firing Squad Executions While Kamala Harris Remains In Hiding // #USNews, #DonaldTrump, #TrumpNews… https://t.co/PQqITtSFlG",FALSE,1,NA,2020-12-04 18:25:45,TRUE,NA,"1334926885877211136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GreekNewsGuy",0,FALSE,FALSE,NA,NA
"3654","POTUS Authorizes Firing Squad Executions While Kamala Harris Remains In Hiding // #USNews, #DonaldTrump, #TrumpNews… https://t.co/ogGz5b0Czy",FALSE,0,NA,2020-12-04 18:25:29,TRUE,NA,"1334926815203246080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","johndk7",0,FALSE,FALSE,NA,NA
"3655","@ericgarland Pathetic. He appointed unqualified “Buddy” to grift. It didn’t work. America held up.

How many have t… https://t.co/TmygRayrtv",FALSE,0,"ericgarland",2020-12-04 18:24:59,TRUE,"1334917423590494208","1334926689126633472","16912124","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EAwrite",0,FALSE,FALSE,NA,NA
"3656","“The man who trades freedom for security does not deserve nor will he ever receive either.” - Benjamin Franklin… https://t.co/Gy9CeYBlAN",FALSE,0,NA,2020-12-04 18:24:40,TRUE,NA,"1334926612693970944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lucy_maysonet",0,FALSE,FALSE,NA,NA
"3657","Rudolph the Giuliani as sung by Donald trump (yes I know he hasn’t been fired) #impressions #comedy #RudyGuilliani… https://t.co/fPuTEvclks",FALSE,27,NA,2020-12-04 18:23:53,TRUE,NA,"1334926415872077824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheReal_NRP",6,FALSE,FALSE,NA,NA
"3658","https://t.co/UvcoBtZQOj

#Comedy #ComedyVideos #DonaldTrump #Facebook #Funny #Laugh #Lol #Meerkat #Plush #Plushies… https://t.co/SsSnVWf3bW",FALSE,0,NA,2020-12-04 18:22:24,TRUE,NA,"1334926042746810369",NA,"<a href=""https://stuffedproductions.com"" rel=""nofollow"">Monty's Twitter Reposter</a>","HedgehogMonty",0,FALSE,FALSE,NA,NA
"3659","@CNNPolitics .. shouldn't be too much of a task once covIDIOT #covFeFe #kag #maga #DonaldTrump @realDonaldTrump &amp;… https://t.co/PqZGxj21Ub",FALSE,0,"CNNPolitics",2020-12-04 18:20:40,TRUE,"1334925188958474243","1334925603900858368","13850422","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JoR3LofKrypton",0,FALSE,FALSE,NA,NA
"3660","Nothing to see here!  Just palming a voting machine usb drive for a secret handoff!
#JoeBidenKamalaHarris2020… https://t.co/wXFpLvnYLs",FALSE,2,NA,2020-12-04 18:19:35,TRUE,NA,"1334925332206374912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatriotsStand76",0,FALSE,FALSE,NA,NA
"3661","RT @ThinkinPatriot: You might be a #sheep if you’ve hated a man for 4 years for saying “Grab em by the pussy” then choose the man who inter…",FALSE,0,NA,2020-12-04 18:19:00,FALSE,NA,"1334925185963712513",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Deborah41968616",30,TRUE,FALSE,NA,NA
"3662","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:16:44,FALSE,NA,"1334924615144050689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Simonides69",138,TRUE,FALSE,NA,NA
"3663","Do you need niche targeted active email list to grow your business sales? Visit: https://t.co/zDVGV5mom5… https://t.co/WEYkXjRzsv",FALSE,0,NA,2020-12-04 18:16:39,TRUE,NA,"1334924593396477952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UmmayHa75941161",0,FALSE,FALSE,NA,NA
"3664","TRUMP LOSER - All T-Shirts $14 #CyberWeek @TeePublic 

https://t.co/fX6eVwi473  

#Trump #TrumpLOSER #DonaldTrump… https://t.co/3NlZJoGhzJ",FALSE,0,NA,2020-12-04 18:15:08,TRUE,NA,"1334924210771271680",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","cine31",0,FALSE,FALSE,NA,NA
"3665","RT @hajimoto5: @ClayreInTucson @jaketapper He’s the most dangerous President of my lifetime &amp; to realize that we were on the cusp of autocr…",FALSE,0,NA,2020-12-04 18:14:36,FALSE,NA,"1334924075928580096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KYoung19295602",47,TRUE,FALSE,NA,NA
"3666","RT @hajimoto5: @ClayreInTucson @jaketapper He’s the most dangerous President of my lifetime &amp; to realize that we were on the cusp of autocr…",FALSE,0,NA,2020-12-04 18:12:58,FALSE,NA,"1334923665046179843",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaTeOla",47,TRUE,FALSE,NA,NA
"3667","RT @derekjames150: Just think, #DonaldTrump would never have become POTUS without the help and support of Fox News. They have an awful lot…",FALSE,0,NA,2020-12-04 18:12:53,FALSE,NA,"1334923647497199623",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MartinJ95273316",138,TRUE,FALSE,NA,NA
